Müller & Söhne GmbH,+49 171 1234567
Schmidt Elektrotechnik,+49 172 2345678
Weber IT Solutions,+49 173 3456789
Fischer Immobilien,+49 174 4567890
Meyer Gastronomie GmbH,+49 175 5678901
Becker Autohaus,+49 176 6789012
Hoffmann Consulting,+49 177 7890123
Koch Architekten,+49 178 8901234
Richter Rechtsanwälte,+49 179 9012345
Klein Steuerberatung,+49 151 0123456
Wagner Handwerk,+49 152 1234567
Schneider Marketing,+49 153 2345678
Fischer Bauunternehmen,+49 154 3456789
Müller Logistik,+49 155 4567890
Schmidt Werbeagentur,+49 156 5678901
Weber Eventmanagement,+49 157 6789012
Becker Fitnessstudio,+49 158 7890123
Hoffmann Fotografie,+49 159 8901234
Koch Restaurant,+49 160 9012345
Richter Versicherungen,+49 161 0123456
